iter	Passed	Remaining
309	815	1815
310	817	1811
311	819	1806
312	820	1800
313	823	1798
314	824	1792
315	829	1796
316	831	1791
317	833	1787
318	835	1782
319	836	1778
320	842	1781
321	844	1778
322	845	1773
323	847	1767
324	848	1763
325	850	1757
326	853	1757
327	855	1753
328	857	1748
329	858	1742
330	860	1738
331	861	1733
332	863	1728
333	867	1729
334	868	1724
335	870	1719
336	871	1714
337	873	1710
338	874	1705
339	877	1703
340	880	1702
341	882	1697
342	883	1692
343	886	1689
344	887	1684
345	889	1682
346	893	1681
347	894	1676
348	896	1672
349	898	1667
350	899	1663
351	901	1659
352	904	1658
353	906	1654
354	908	1650
355	909	1645
356	912	1642
357	913	1638
358	916	1636
359	919	1634
360	921	1630
361	924	1629
362	925	1624
363	929	1623
364	931	1620
365	933	1616
366	934	1611
367	935	1607
368	937	1602
369	938	1598
370	942	1598
371	944	1594
372	945	1589
373	946	1585
374	949	1582
375	950	1577
376	953	1576
377	957	1574
378	958	1570
379	959	1566
380	962	1563
381	963	1559
382	966	1557
383	970	1556
384	971	1552
385	973	1547
386	975	1545
387	976	1540
388	979	1538
389	983	1538
390	985	1534
391	986	1530
392	988	1526
393	989	1522
394	992	1519
395	996	1519
396	997	1515
397	999	1511
398	1000	1507
399	1002	1503
400	1004	1499
401	1007	1499
402	1009	1496
403	1011	1491
404	1012	1487
405	1014	1484
406	1016	1480
407	1019	1478
408	1021	1476
409	1023	1472
410	1024	1468
411	1026	1465
412	1028	1461
413	1030	1458
414	1032	1456
415	1034	1452
416	1035	1448
417	1037	1445
418	1039	1441
419	1040	1437
420	1043	1435
421	1046	1432
422	1047	1428
423	1048	1424
424	1051	1422
425	1053	1418
426	1055	1416
427	1058	1415
428	1060	1411
429	1061	1407
430	1064	1405
431	1066	1401
432	1068	1399
433	1072	1398
434	1073	1394
435	1075	1391
436	1077	1388
437	1078	1384
438	1081	1382
439	1084	1379
440	1085	1376
441	1086	1372
442	1088	1368
443	1090	1365
444	1091	1361
445	1094	1360
446	1097	1357
447	1099	1354
