iter	RMSE
213	0.4521598842
214	0.451604533
215	0.4486218159
216	0.4469087004
217	0.4461432622
218	0.4447117665
219	0.44261371
220	0.4418545665
221	0.4413005529
222	0.4409882327
223	0.4398451641
224	0.4383514109
225	0.4378337441
226	0.4366778675
227	0.434888488
228	0.4327180451
229	0.4301518154
230	0.4287086725
231	0.428143174
232	0.4275179752
233	0.4263216401
234	0.4250170421
235	0.4246285515
236	0.4228896136
237	0.4224431897
238	0.4213585773
239	0.4198763681
240	0.4182334903
241	0.4162186655
242	0.415074969
243	0.4132124944
244	0.4117228557
245	0.4112521626
246	0.409155347
247	0.4087284982
248	0.4074506102
249	0.4066958676
250	0.4044274918
251	0.4029185933
252	0.4019852646
253	0.4016664019
254	0.4010152831
255	0.4000226951
256	0.3992178689
257	0.3976124831
258	0.3970619483
259	0.3963302819
260	0.3943649698
261	0.3928496058
262	0.3923227034
263	0.3913311601
264	0.3900867355
265	0.3896791408
266	0.3885079689
267	0.3876113975
268	0.3863397127
269	0.3847463458
270	0.3834507835
271	0.3820672953
272	0.3811367208
273	0.3807048129
274	0.3800863441
275	0.3796475297
276	0.3791149661
277	0.3788367154
278	0.3768268968
279	0.3766462186
280	0.3761833416
281	0.3756911533
282	0.374081682
283	0.3726899976
284	0.3717274282
285	0.3703821553
286	0.3693093059
287	0.3689317042
288	0.3686836855
289	0.3674694187
290	0.3663720243
291	0.3657978208
292	0.364627385
293	0.3637206775
294	0.3624908267
295	0.3613710616
296	0.3603080674
297	0.3585700932
298	0.3573558742
299	0.3569355354
300	0.3560717305
301	0.3551441346
302	0.3541347483
303	0.3534647053
304	0.3527536202
305	0.3522897018
306	0.3521347854
307	0.3514843657
308	0.3511884984
309	0.3509217975
310	0.3494610353
311	0.3478520254
312	0.3468035726
313	0.3459690221
314	0.3451119122
315	0.3444503198
316	0.3433221557
317	0.3421066393
318	0.3409277414
319	0.3400363362
320	0.3383842477
321	0.3380422924
322	0.3369709791
323	0.336550681
324	0.3351774461
325	0.3346737019
326	0.334387438
327	0.333374108
328	0.3332312518
329	0.3325582766
330	0.3318302015
331	0.3308261342
332	0.3300723878
333	0.3292603208
334	0.3279331935
335	0.3272026909
336	0.3263430268
337	0.3254867411
338	0.3242447439
339	0.3239249204
340	0.3226568698
341	0.3225301131
342	0.3218570814
343	0.3211643581
344	0.3204818585
345	0.3197918105
346	0.3192517969
347	0.3182884307
348	0.3171053245
349	0.3166517647
350	0.3165497484
351	0.3154643277
352	0.3146467706
353	0.3140982735
354	0.3136096308
355	0.313006882
356	0.3126761946
357	0.3120650911
358	0.3115831637
359	0.3112421058
360	0.3107481515
361	0.309981215
362	0.3092540345
363	0.3087426467
364	0.308625964
365	0.3075372773
366	0.3073666209
367	0.3066988964
368	0.3065091201
369	0.305502638
370	0.3048116074
371	0.3044827124
372	0.3037865234
373	0.3033969294
374	0.3032906822
375	0.3028716974
376	0.3025045144
377	0.3020532288
378	0.3009878401
379	0.3003881484
380	0.3002897484
381	0.2994931479
382	0.2986095183
383	0.2979839878
384	0.2978977018
385	0.2976351911
386	0.2965612447
387	0.2962663769
388	0.2955269491
389	0.2950911864
390	0.2950189426
391	0.2949501961
392	0.2944520797
393	0.2940838164
394	0.2933738696
395	0.2927229115
396	0.2919658316
397	0.2911943999
398	0.2909190553
399	0.2904595642
400	0.2894815279
401	0.2889041615
402	0.2881143671
403	0.2878109988
404	0.2873066938
405	0.2863516229
406	0.2861183002
407	0.2855189777
408	0.285227331
409	0.2847755398
410	0.284632149
411	0.2839286375
412	0.2833001347
413	0.2821230345
414	0.2812729815
415	0.2810833687
416	0.2805703189
417	0.280164155
418	0.2797877152
419	0.2794594778
420	0.2793288817
421	0.2784576028
422	0.2779695391
423	0.2776238421
424	0.2769865716
425	0.2768668604
426	0.2765877745
427	0.2759696892
428	0.2754320249
429	0.2747298091
430	0.2743511041
431	0.2736124292
432	0.2734859763
433	0.2731197964
434	0.2727189165
435	0.2717323379
436	0.2709315207
437	0.2705366855
438	0.2696818917
439	0.269336057
440	0.2687177827
441	0.2680508455
442	0.2675142816
443	0.2669588199
444	0.2664758775
445	0.2659313042
446	0.265323856
447	0.2649658024
448	0.2640891799
449	0.2638046908
450	0.2632346384
451	0.2627102576
452	0.2626574528
453	0.2623012535
454	0.2619449791
455	0.261279329
456	0.2607812166
457	0.2607284754
458	0.2604779735
459	0.2598602525
460	0.2596250534
461	0.2592120789
462	0.2587828627
463	0.2584710741
464	0.2579207226
465	0.2576906362
466	0.2574426703
467	0.2569175899
468	0.2568342253
469	0.2566135814
470	0.2556442493
471	0.2555957221
472	0.25528451
473	0.2547446095
474	0.2543659446
475	0.2539988872
476	0.253266856
477	0.2528470025
478	0.2520972827
479	0.2514402088
480	0.2513689489
481	0.2507307064
482	0.2505126034
483	0.2499265741
484	0.2494072024
485	0.2487416301
486	0.2482291897
487	0.2478501513
488	0.2474943138
489	0.2471998585
490	0.2468495054
491	0.2463222004
492	0.2460412592
493	0.2453922449
494	0.2448094059
495	0.2444957118
496	0.2441659801
497	0.2440999193
498	0.2437690525
499	0.2432795007
500	0.2427898754
501	0.2427287368
502	0.242474544
503	0.2421600564
504	0.2419716489
505	0.2415774083
506	0.2411893619
507	0.2407830289
508	0.2403740736
509	0.2399922302
510	0.2391116604
511	0.2390542604
512	0.2386176453
513	0.2382671927
514	0.237517501
515	0.2373136609
516	0.2369138549
517	0.2368008607
518	0.2363357953
519	0.2360045474
520	0.2354380575
521	0.2350325595
522	0.2349835975
523	0.2342407811
524	0.2341900728
525	0.2340233721
526	0.233436203
527	0.2332114109
528	0.2327246362
529	0.232441878
530	0.2323346797
531	0.2320603454
532	0.2316935856
533	0.230837718
534	0.2306284473
535	0.2302684442
536	0.2297495579
537	0.2294130685
538	0.2289279268
539	0.2287552617
540	0.2284902005
541	0.2280912914
542	0.2276209616
543	0.2272457144
544	0.226838872
545	0.2264046259
546	0.2262587797
547	0.2258708923
548	0.2255936005
549	0.2254414513
550	0.2249922327
551	0.2247810745
552	0.224645457
553	0.2242592724
554	0.2238811215
555	0.2237365239
556	0.2236935496
557	0.2233793611
558	0.2230954057
559	0.2228723308
560	0.222262733
561	0.2220652146
562	0.2216521447
563	0.2209998073
564	0.2205858347
565	0.2203457275
566	0.2197932376
567	0.2195800343
568	0.219092132
569	0.2186891243
570	0.2182307677
571	0.2176814152
572	0.2172326284
573	0.2169616897
574	0.2166140636
575	0.216342278
576	0.2155997181
577	0.2153898734
578	0.2147791872
579	0.2143570073
580	0.2140434113
581	0.2135359108
582	0.2132551713
583	0.2130278845
584	0.2128076081
585	0.2126027744
586	0.2122113137
587	0.2119072218
588	0.2118343912
589	0.211537162
590	0.2112665393
591	0.2109023923
592	0.2106123612
593	0.2100798373
594	0.2096508811
595	0.2094576606
596	0.2091481745
597	0.2090621321
598	0.208419678
599	0.2080510994
600	0.207589704
601	0.2074018351
602	0.206979395
603	0.2069311701
604	0.2066535547
605	0.2063553661
606	0.2061450604
607	0.2058253504
608	0.2057304164
609	0.2055515523
610	0.2051250543
611	0.2050040538
612	0.2047154073
613	0.2046805674
614	0.2043244301
615	0.2042919776
616	0.2042514987
617	0.2040143273
618	0.2034929716
619	0.2032324827
620	0.2030965568
621	0.2030350216
622	0.2026878305
623	0.2022445499
624	0.2017900866
625	0.201575542
626	0.2015484904
627	0.2012627596
628	0.201060248
629	0.200907658
630	0.2007868523
631	0.2003246469
632	0.1998956674
633	0.19964453
634	0.1994965998
635	0.1992337412
636	0.198916323
637	0.1985424714
638	0.1985152129
639	0.1984898571
640	0.198372586
641	0.1978630732
642	0.197552105
643	0.1972347024
644	0.1968807924
645	0.1964605814
646	0.1961218729
647	0.1960896573
648	0.1956610996
649	0.1953233554
650	0.1949353877
651	0.1949054211
652	0.1945927164
653	0.194269125
654	0.1935245491
655	0.1931251565
656	0.1929081274
657	0.1924894078
658	0.1920933749
659	0.1917075874
660	0.1915707208
661	0.1913548991
662	0.1910413084
663	0.1908182634
664	0.1907266221
665	0.1903896805
666	0.1903524041
667	0.1899806501
668	0.1898195476
669	0.1894796985
670	0.1891915423
671	0.1889028646
672	0.1886108986
673	0.1882864504
674	0.1879634888
675	0.1877746049
676	0.1875172276
677	0.1873721948
678	0.1870707511
679	0.1867709473
680	0.1865444638
681	0.1862841323
682	0.1859965983
683	0.1857436898
684	0.185187268
685	0.1849850588
686	0.1846255926
687	0.1844566216
688	0.1843682233
689	0.1840814729
690	0.1837706951
691	0.183451613
692	0.1832694486
693	0.182975851
694	0.1827898905
695	0.1825370617
696	0.1823981041
697	0.1823160666
698	0.1820385687
699	0.1817275791
700	0.1813652409
701	0.1812054295
702	0.1810524965
703	0.1805531472
704	0.1802667048
705	0.1800922544
706	0.1798351494
707	0.1793218371
708	0.1790561749
709	0.1788905222
710	0.1787998692
711	0.1786159938
712	0.178180306
713	0.1780424242
714	0.1779254714
715	0.1776361364
716	0.1770520142
717	0.176802321
718	0.1766495525
719	0.1764550976
720	0.1761780509
721	0.1760062951
722	0.1758451737
723	0.1756230181
724	0.1754260201
725	0.1752273738
726	0.174976148
727	0.1748832952
728	0.1746494724
729	0.1744484239
730	0.1740481351
731	0.1739680952
732	0.1737649185
733	0.1734366505
734	0.1732139743
735	0.1729464047
736	0.1727820681
737	0.1725564276
738	0.1721531691
739	0.1718750075
740	0.1717301596
741	0.1714363681
742	0.1714090044
743	0.1711135249
744	0.1709125951
745	0.1706740428
746	0.1705815023
747	0.1703809096
748	0.1702592294
749	0.1701611462
750	0.1698006463
751	0.1694130804
752	0.1691151611
753	0.1688212079
754	0.1685442101
755	0.1681322587
756	0.1678876484
757	0.1675693044
758	0.1674590166
759	0.1672675888
760	0.1670519704
761	0.1667505138
762	0.1666388897
763	0.1664256248
764	0.1663382684
765	0.1661390495
766	0.1659943917
767	0.1658971242
768	0.165569829
769	0.1650889782
770	0.1649970694
771	0.1648725381
772	0.1646775262
773	0.1645911216
774	0.1642110741
775	0.1640525343
776	0.1639213915
777	0.1637034803
778	0.1634430148
779	0.163250634
780	0.1630875455
781	0.1629015941
782	0.1627946862
783	0.1625820824
784	0.1625647408
785	0.1623182213
786	0.1620601514
787	0.1619485086
788	0.1619086281
789	0.1615230247
790	0.1613423517
791	0.1610927852
792	0.1608049342
793	0.1605388401
794	0.1604585956
795	0.1602121538
796	0.1598721479
797	0.1596798389
798	0.1595105717
799	0.1594909376
800	0.1593655204
801	0.159285685
802	0.1591010519
803	0.1588521321
804	0.1585927886
805	0.1584147456
806	0.1583304353
807	0.1581928206
808	0.1581095083
809	0.1579901444
810	0.1579026079
811	0.1578032751
812	0.1577268491
813	0.1574317528
814	0.157292463
815	0.1570250347
816	0.1569710372
817	0.1569029168
818	0.156813561
819	0.1566627755
820	0.1565169336
821	0.1563429388
822	0.1562300395
823	0.15598916
824	0.1557562706
825	0.1556340952
826	0.1554022854
827	0.1553785797
828	0.1551178577
829	0.1550047194
830	0.1546565611
831	0.1544079696
832	0.1543341165
833	0.1542045485
834	0.1539907337
835	0.1537828153
836	0.1536200386
837	0.1535208776
838	0.1532717183
839	0.1532168939
840	0.1530556704
841	0.1528949559
842	0.152659859
843	0.1524391594
844	0.1523885756
845	0.1520026601
846	0.1519199118
847	0.1517182682
848	0.151500136
849	0.1512024345
850	0.1509396278
851	0.15075038
852	0.150597678
853	0.1503733694
854	0.1499896113
855	0.1498990198
856	0.1497198458
857	0.1495622261
858	0.1494709345
859	0.1493495576
860	0.1488395902
861	0.1486600423
862	0.1484384576
863	0.1482707594
864	0.1481256853
865	0.1479472745
866	0.1478063334
867	0.147543828
868	0.1473024235
869	0.1471878895
870	0.1469999618
871	0.1468123795
872	0.1463743645
873	0.1461774164
874	0.1461541755
875	0.1460104994
876	0.1458681554
877	0.1458469181
878	0.1456387879
879	0.1454239504
880	0.1452861311
881	0.1450742657
882	0.1448781921
883	0.1447050079
884	0.1446413738
885	0.1443057098
886	0.1441911539
887	0.1438706751
888	0.1437617406
889	0.1436161961
890	0.1434054296
891	0.1431805758
892	0.1430375687
893	0.1429185358
894	0.1428275364
895	0.1424951785
896	0.14244925
897	0.142385833
898	0.1423209611
899	0.142090098
900	0.1419058149
901	0.1416343908
902	0.1414996344
903	0.1412688245
904	0.1410221928
905	0.1409489027
906	0.1408935316
907	0.1407217188
908	0.1405902075
909	0.1404489163
910	0.1404203888
911	0.1403107417
912	0.1401919264
913	0.1399946766
914	0.1398709946
915	0.1397326003
916	0.1396182822
917	0.1394426507
918	0.1393288632
919	0.1393070263
920	0.1389483481
921	0.1387172466
922	0.1385594854
923	0.1383706028
924	0.138177552
925	0.1380287246
926	0.1377177579
927	0.1375798512
928	0.1373866261
929	0.1372880588
930	0.1371035688
931	0.1369697029
932	0.1368887273
933	0.1367818026
934	0.1367294642
935	0.136710891
936	0.1366242952
937	0.1364212652
938	0.1363212253
939	0.1362437787
940	0.1361551987
941	0.1360069839
942	0.1357878287
943	0.1355412395
944	0.1353767235
945	0.1351916748
946	0.135039533
947	0.1349681863
948	0.1348482576
949	0.1347811355
950	0.1346503388
951	0.1345950082
952	0.1344737507
953	0.1344242283
954	0.1341290896
955	0.1339417302
956	0.1338389995
957	0.1337160677
958	0.133582356
959	0.1333857445
960	0.1332477018
961	0.1331231984
962	0.1329548659
963	0.1328776701
964	0.1327625458
965	0.1326069924
966	0.132536076
967	0.1324748661
968	0.1323811189
969	0.1321747691
970	0.1320629764
971	0.1319140868
972	0.1318085324
973	0.1316563856
974	0.1315678277
975	0.1314259056
976	0.1313052233
977	0.1309333168
978	0.130815109
979	0.1306907933
980	0.1305751007
981	0.1305034011
982	0.1304406943
983	0.1302603721
984	0.1301297999
985	0.130085146
986	0.13002883
987	0.129933991
988	0.1297529096
989	0.1296700884
990	0.1295849676
991	0.1293448399
992	0.1292513959
993	0.1290630168
994	0.1290242024
995	0.1286861807
996	0.1285135708
997	0.1284325582
998	0.1283097799
999	0.1281632747
